LEA	Limited Edition Alpha
LEB	Limited Edition Beta
ARN	Arabian Nights
2ED	Unlimited Edition
CED	Collector's Edition
CEI	International Collector's Edition
pDRC	Dragon Con
ATQ	Antiquities
3ED	Revised Edition
LEG	Legends
DRK	The Dark
FEM	Fallen Empires
pMEI	Media Inserts
pLGM	Legend Membership
4ED	Fourth Edition
ICE	Ice Age
CHR	Chronicles
HML	Homelands
ALL	Alliances
RQS	Rivals Quick Start Set
pARL	Arena League
pCEL	Celebration
MIR	Mirage
MGB	Multiverse Gift Box
ITP	Introductory Two-Player Set
VIS	Visions
5ED	Fifth Edition
pPOD	Portal Demo Game
POR	Portal
VAN	Vanguard
WTH	Weatherlight
pPRE	Prerelease Events
TMP	Tempest
STH	Stronghold
PO2	Portal Second Age
pJGP	Judge Gift Program
EXO	Exodus
UGL	Unglued
pALP	Asia Pacific Land Program
USG	Urza's Saga
ATH	Anthologies
ULG	Urza's Legacy
6ED	Classic Sixth Edition
PTK	Portal Three Kingdoms
UDS	Urza's Destiny
S99	Starter 1999
pGRU	Guru
pWOR	Worlds
pWOS	Wizards of the Coast Online Store
MMQ	Mercadian Masques
BRB	Battle Royale Box Set
pSUS	Super Series
pFNM	Friday Night Magic
pELP	European Land Program
NMS	Nemesis
S00	Starter 2000
PCY	Prophecy
BTD	Beatdown Box Set
INV	Invasion
PLS	Planeshift
7ED	Seventh Edition
pMPR	Magic Player Rewards
APC	Apocalypse
ODY	Odyssey
DKM	Deckmasters
TOR	Torment
JUD	Judgment
ONS	Onslaught
LGN	Legions
SCG	Scourge
pREL	Release Events
8ED	Eighth Edition
MRD	Mirrodin
DST	Darksteel
5DN	Fifth Dawn
CHK	Champions of Kamigawa
UNH	Unhinged
BOK	Betrayers of Kamigawa
SOK	Saviors of Kamigawa
9ED	Ninth Edition
RAV	Ravnica: City of Guilds
p2HG	Two-Headed Giant Tournament
pGTW	Gateway
GPT	Guildpact
pCMP	Champs and States
DIS	Dissension
CSP	Coldsnap
CST	Coldsnap Theme Decks
TSP	Time Spiral
TSB	Time Spiral "Timeshifted"
pHHO	Happy Holidays
PLC	Planar Chaos
pPRO	Pro Tour
pGPX	Grand Prix
FUT	Future Sight
10E	Tenth Edition
pMGD	Magic Game Day
MED	Masters Edition
LRW	Lorwyn
EVG	Duel Decks: Elves vs. Goblins
pLPA	Launch Parties
MOR	Morningtide
p15A	15th Anniversary
SHM	Shadowmoor
pSUM	Summer of Magic
EVE	Eventide
DRB	From the Vault: Dragons
